"V1","Titulares","NUMERODECLARACIONES","NUMEROHABITANTES","POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL","POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO","RENTA BRUTA MEDIA","RENTA DISPONIBLEMEDIA"
"Torroella de Montgrí-17199","5.750","5.105","11.645","647","319","25.652","21.272"
"Llagostera-17089","4.075","3.640","8.453","669","325","25.502","21.140"
"Blanes-17023","19.030","16.928","39.028","680","328","25.449","21.121"
"Anglès-17008","2.731","2.407","5.599","695","337","25.377","20.993"
"Sant Pere Pescador-17178","1.005","914","2.042","713","345","25.306","20.697"
"Cellera de Ter, La-17189","965","880","1.946","720","347","25.245","20.956"
"Llançà-17092","2.575","2.327","4.836","728","349","25.183","20.917"
"Palafrugell-17117","10.733","9.368","22.974","736","352","25.127","20.887"
"Maçanet de la Selva-17103","3.321","2.903","7.006","738","353","25.107","20.984"
"Sant Hilari Sacalm-17164","3.052","2.648","5.627","767","363","24.948","20.751"
"Hostalric-17083","2.298","2.028","4.221","784","367","24.851","20.690"
"Bisbal Empordà, La-17022","5.282","4.666","10.974","797","371","24.797","20.652"
"Roses-17152","9.258","8.170","19.550","831","377","24.600","20.498"
"Vilamalla-17226","581","521","1.181","869","386","24.269","20.179"
"Lloret de Mar-17095","16.304","14.586","38.373","907","395","23.998","20.000"
"Planes Hostoles, Les-17133","786","732","1.683","921","397","23.851","19.699"
"Ullà-17204","555","471","1.153","949","401","23.640","19.612"
"Salt-17155","13.439","11.724","31.362","1.208","434","22.161","18.816"
"Agrupación municipios pequeños-17","27.347","25.132","56.057","-","-","28.938","23.555"
"Lleida","229.316","204.770","432.825",NA,NA,"25.839","21.307"
"Alpicat-25023","3.470","3.201","6.255","84","43","34.417","27.080"
"Pont de Suert, El-25173","1.251","1.104","2.220","188","102","30.601","25.044"
"Torrefarrera-25228","2.434","2.220","4.605","264","141","29.160","23.586"
"Benavent de Segrià-25053","838","752","1.499","351","191","28.262","22.819"
"Lleida-25120","74.676","67.259","138.956","354","193","28.240","23.011"
"Cervera-25072","4.903","4.290","9.180","370","200","28.049","22.502"
"Naut Aran-25025","921","862","1.803","397","211","27.816","22.378"
"Bellver de Cerdanya-25051","1.158","1.053","1.937","439","230","27.392","22.355"
"Bell-lloc Urgell-25048","1.260","1.108","2.315","466","244","27.145","21.877"
"Mollerussa-25137","7.890","6.884","14.683","480","250","27.015","22.184"
"Bossòst-25059","635","576","1.109","537","274","26.508","21.754"
"Montferrer i Castellbò-25140","426","385","1.041","579","293","26.193","21.431"
"Vielha e Mijaran-25243","3.094","2.872","5.559","593","299","26.063","21.304"
"Golmés-25099","973","874","1.840","597","301","26.026","21.238"
"Pobla de Segur, La-25171","1.663","1.467","2.984","613","309","25.907","21.423"
"Palau Anglesola, El-25158","1.235","1.094","2.166","638","316","25.736","21.139"
"Seu Urgell, La-25203","5.771","5.213","12.089","644","317","25.666","21.373"
"Almacelles-25019","3.331","2.908","6.791","670","326","25.501","21.277"
"Agramunt-25003","2.901","2.549","5.371","677","327","25.468","20.923"
"Guissona-25110","3.967","3.528","7.136","686","331","25.428","20.991"
"Vallfogona de Balaguer-25240","996","887","1.876","687","332","25.422","20.960"
"Sant Guim de Freixenet-25192","570","510","1.025","701","340","25.343","20.972"
"Tàrrega-25217","9.240","8.092","17.098","744","354","25.066","20.786"
"Tremp-25234","3.345","2.984","5.844","758","359","24.973","20.805"
"Vilanova de Bellpuig-25248","626","557","1.181","775","365","24.916","20.763"
"Rosselló-25189","1.558","1.387","3.145","788","368","24.829","20.627"
"Anglesola-25027","722","634","1.363","791","370","24.813","20.658"
"Ponts-25172","1.437","1.275","2.601","800","372","24.774","20.658"
"Borges Blanques, Les-25058","3.119","2.747","6.087","811","374","24.666","20.590"
"Solsona-25207","4.841","4.273","9.094","846","381","24.477","20.415"
"Bellpuig-25050","2.540","2.215","5.133","856","383","24.375","20.293"
"Oliana-25149","936","848","1.810","859","384","24.355","20.259"
"Balaguer-25040","8.152","7.119","17.162","879","388","24.208","20.223"
"Juneda-25119","1.821","1.628","3.475","880","389","24.208","20.056"
"Torà-25223","708","637","1.255","884","391","24.146","20.053"
"Alguaire-25016","1.585","1.405","2.971","895","393","24.096","20.107"
"Corbins-25078","820","754","1.444","903","394","24.010","19.667"
"Alcoletge-25012","1.732","1.575","3.420","914","396","23.927","20.007"
"Bellcaire Urgell-25047","736","658","1.230","931","398","23.797","19.997"
"Vilanova de la Barca-25254","534","487","1.036","936","399","23.762","19.743"
"Bellvís-25052","1.246","1.124","2.255","943","400","23.689","19.777"
"Fuliola, La-25096","659","582","1.248","959","404","23.599","19.957"
"Ivars Urgell-25113","875","784","1.531","964","406","23.578","19.936"
"Puigverd de Lleida-25182","713","658","1.355","977","408","23.500","19.729"
"Miralcamp-25135","709","624","1.351","988","410","23.458","19.585"
"Torregrossa-25230","1.248","1.078","2.202","994","411","23.408","19.558"
"Vall de Boí La-25043","474","437","1.021","1.014","413","23.276","19.105"
"Artesa de Lleida-25033","870","793","1.504","1.021","415","23.203","19.237"
"Sort-25209","1.271","1.167","2.149","1.050","417","23.029","19.332"
"Térmens-25220","746","656","1.333","1.059","418","22.997","19.403"
"Albatàrrec-25007","1.112","992","2.221","1.120","423","22.607","19.036"
"Albesa-25008","915","814","1.556","1.133","425","22.488","18.891"
"Almenar-25021","1.786","1.595","3.398","1.141","426","22.470","18.841"
"Artesa de Segre-25034","1.882","1.651","3.432","1.144","427","22.458","18.913"
"Soses-25210","1.000","916","1.763","1.180","430","22.282","18.696"
"Linyola-25122","1.555","1.375","2.700","1.198","432","22.180","18.681"
"Castellserà-25070","580","512","1.003","1.230","436","22.068","18.761"
"Alfarràs-25013","1.338","1.172","2.797","1.273","438","21.869","18.502"
"Alcarràs-25011","5.047","4.626","9.514","1.347","441","21.476","18.060"
"Isona i Conca Dellà-25115","561","504","1.019","1.451","443","20.915","18.039"
"Arbeca-25029","1.196","1.047","2.144","1.480","445","20.763","17.708"
"Aitona-25038","1.378","1.215","2.591","1.601","449","20.189","17.320"
"Seròs-25204","961","844","1.922","1.663","451","19.915","17.159"
"Torres de Segre-25232","1.226","1.106","2.277","1.793","456","19.351","16.459"
"Agrupación municipios pequeños-25","31.153","27.627","60.750","-","-","23.197","19.483"
"Tarragona","419.713","367.126","804.664",NA,NA,"26.842","22.067"
"Castellvell del Camp-43042","1.595","1.450","2.857","49","23","38.237","29.944"
"Altafulla-43012","2.877","2.564","5.243","52","25","37.811","29.779"
"Almoster-43011","812","737","1.351","57","27","37.315","29.022"
"Pallaresos, Els-43100","2.645","2.350","4.777","97","49","33.377","26.632"
"Flix-43060","2.046","1.655","3.408","131","71","31.958","25.746"
"Vandellòs i Hospitalet de Infant-43162","3.074","2.715","6.482","149","80","31.585","25.022"
"Catllar, El-43043","2.470","2.216","4.451","153","82","31.467","25.308"
"Tarragona-43148","71.403","63.130","134.515","166","91","31.011","25.042"
"Ascó-43019","923","820","1.660","176","96","30.750","24.511"
"Vinyols i els Arcs-43178","1.039","931","2.056","212","115","30.106","24.216"
"Cambrils-43038","18.078","15.984","33.898","220","120","30.011","24.154"
"Secuita, La-43144","915","808","1.687","225","124","29.815","24.126"
"Perafort-43103","630","573","1.261","244","132","29.488","23.996"
"Botarell-43033","587","515","1.068","291","155","28.847","23.435"
"Morell, El-43095","2.011","1.774","3.704","302","162","28.687","23.630"
"Riera de Gaià, La-43126","905","809","1.744","309","167","28.654","23.293"
"Riba-roja Ebre-43125","584","477","1.126","330","179","28.484","23.251"
"Móra Ebre-43093","2.962","2.554","5.690","334","182","28.445","22.872"
"Vallmoll-43160","920","813","1.756","336","183","28.438","23.048"
"Valls-43161","13.096","11.609","24.359","371","201","28.012","22.914"
"Puigpelat-43119","542","499","1.149","383","206","27.926","22.779"
"Selva del Camp, La-43145","3.021","2.693","5.652","443","232","27.362","22.386"
"Reus-43123","56.147","49.113","104.373","449","236","27.308","22.400"
"Banyeres del Penedès-43020","1.725","1.474","3.170","450","237","27.292","22.593"
"Salou-43905","12.950","11.768","27.476","475","249","27.040","22.109"
"Vilallonga del Camp-43166","1.234","1.100","2.389","484","251","26.990","22.093"
"Montblanc-43086","4.102","3.678","7.364","488","254","26.957","22.181"
"Roda de Berà-43131","3.315","2.864","6.567","492","255","26.912","22.295"
"Torredembarra-43153","8.140","7.035","16.184","494","257","26.904","22.167"
"Calafell-43037","12.744","11.090","26.538","527","272","26.566","22.079"
"Ampolla, L-43906","1.720","1.514","3.205","540","276","26.468","22.034"
"Llorenç del Penedès-43074","1.201","1.059","2.393","542","278","26.462","21.860"
"Vila-rodona-43170","688","607","1.255","543","279","26.457","21.974"
"Creixell-43050","1.886","1.608","3.642","544","280","26.450","22.122"
"Vendrell, El-43163","19.393","16.778","37.606","573","291","26.231","21.771"
"Alcover-43005","2.724","2.384","5.064","605","305","25.966","21.527"
"Cunit-43051","6.517","5.634","12.952","609","307","25.927","21.709"
"Falset-43055","1.513","1.349","2.834","645","318","25.660","21.140"
"Mont-roig del Camp-43092","5.883","5.158","12.136","654","320","25.578","21.020"
"Canonja, La-43907","2.936","2.561","5.893","681","329","25.448","21.156"
"Borges del Camp, Les-43031","1.066","946","2.037","685","330","25.428","21.038"
"Vila-seca-43171","11.699","10.260","22.187","688","333","25.405","21.130"
"Montbrió del Camp-43088","1.516","1.378","2.890","690","335","25.394","20.913"
"Riudoms-43129","3.398","2.919","6.594","708","342","25.319","20.950"
"Sant Jaume dels Domenys-43137","1.330","1.153","2.622","709","343","25.316","21.293"
"Tortosa-43155","18.084","15.854","33.372","712","344","25.308","20.944"
"Pobla de Montornès, La-43111","1.475","1.290","2.839","732","350","25.150","20.988"
"Móra la Nova-43094","1.611","1.334","3.087","735","351","25.129","20.782"
"Riudecols-43128","615","566","1.180","750","356","25.030","20.655"
"Arboç, L-43016","2.785","2.337","5.517","755","358","24.991","20.926"
"Pla de Santa Maria, El-43108","1.198","1.079","2.327","762","360","24.963","20.764"
"Riudecanyes-43127","625","558","1.124","783","366","24.852","20.371"
"Bellvei-43024","985","830","2.203","829","376","24.608","20.517"
"Pobla de Mafumet, La-43109","1.725","1.568","3.904","835","378","24.565","20.383"
"Ametlla de Mar, L-43013","3.438","2.921","6.787","843","379","24.521","20.437"
"Cabra del Camp-43036","545","465","1.163","844","380","24.508","20.616"
"Santa Coloma de Queralt-43139","1.599","1.447","2.673","853","382","24.414","20.410"
"Espluga de Francolí, L-43054","2.086","1.883","3.755","893","392","24.100","20.069"
"Alforja-43009","861","778","1.801","955","402","23.613","19.692"
"Bisbal del Penedès, La-43028","1.650","1.423","3.528","956","403","23.611","19.892"
"Sarral-43142","871","777","1.548","962","405","23.588","19.705"
"Santa Oliva-43140","1.468","1.241","3.320","974","407","23.502","20.029"
"Constantí-43047","3.114","2.627","6.540","982","409","23.477","19.720"
"Albinyana-43002","1.136","980","2.438","995","412","23.404","19.884"
"Sant Carles de la Ràpita-43136","7.393","6.225","14.789","1.045","416","23.063","19.418"
"Roquetes-43133","4.298","3.735","7.973","1.095","421","22.769","19.066"
"Montmell, El-43090","591","498","1.512","1.148","429","22.446","19.206"
"Gandesa-43064","1.612","1.411","3.064","1.189","431","22.217","18.617"
"Amposta-43014","11.468","9.799","20.738","1.203","433","22.172","18.636"
"Tivissa-43150","818","714","1.602","1.214","435","22.132","18.813"
"Xerta-43052","614","526","1.170","1.265","437","21.887","18.635"
"Masdenverge-43078","554","470","1.070","1.286","439","21.755","18.414"
"Deltebre-43901","5.970","4.981","11.482","1.329","440","21.545","18.326"
"Ulldecona-43156","3.073","2.583","6.300","1.437","442","20.983","17.941"
"Aldea, L-43904","2.129","1.796","4.160","1.478","444","20.767","17.739"
"Alcanar-43004","5.120","4.400","9.418","1.488","446","20.737","17.560"
"Benissanet-43026","594","526","1.161","1.539","447","20.480","17.314"
"Corbera Ebre-43048","542","457","1.016","1.565","448","20.385","17.356"
"Pinell de Brai, El-43106","521","443","1.017","1.653","450","19.962","16.896"
"Santa Bàrbara-43138","1.958","1.704","3.707","1.677","452","19.836","16.917"
"Sénia, La-43044","2.762","2.369","5.681","1.686","453","19.802","16.911"
"Sant Jaume Enveja-43902","1.747","1.465","3.503","1.705","454","19.717","16.881"
"Perelló, El-43104","1.473","1.274","2.770","1.737","455","19.556","16.799"
"Camarles-43903","1.750","1.477","3.224","1.795","457","19.345","16.770"
"Horta de Sant Joan-43071","619","525","1.149","1.805","458","19.303","16.551"
"Batea-43022","1.045","922","1.890","2.533","459","16.233","14.260"
"Agrupación municipios pequeños-43","20.229","17.762","39.897","-","-","22.846","19.215"
"Extremadura","579.219","479.512","1.067.710",NA,NA,"20.373","17.361"
"Badajoz","357.783","293.738","673.559",NA,NA,"20.472","17.439"
"Badajoz-06015","78.016","67.283","150.702","559","2","26.320","21.703"
"Mérida-06083","30.987","26.428","59.335","905","5","24.003","19.998"
"Zafra-06158","8.927","7.380","16.797","957","6","23.605","19.685"
"Don Benito-06044","21.172","17.679","37.151","1.295","8","21.686","18.260"
"Llerena-06074","3.138","2.661","5.804","1.332","9","21.526","18.089"
"Jerez de los Caballeros-06070","5.116","4.074","9.303","1.500","11","20.684","17.634"
"Villanueva de la Serena-06153","13.832","11.424","25.667","1.525","12","20.554","17.510"
"Almendralejo-06011","16.791","13.634","33.474","1.573","13","20.351","17.279"
"Campanario-06028","2.962","2.299","4.896","1.741","16","19.536","16.862"
"Fuente de Cantos-06052","2.472","1.967","4.721","1.768","19","19.437","16.669"
"Talavera la Real-06128","2.751","2.220","5.314","1.878","20","19.007","16.344"
"Villafranca de los Barros-06149","6.796","5.453","12.835","1.883","21","19.000","16.395"
"Azuaga-06014","4.314","3.570","7.853","1.906","22","18.930","16.412"
"Trujillanos-06135","790","612","1.387","1.926","23","18.851","16.422"
"Fregenal de la Sierra-06050","2.703","2.135","4.847","1.945","25","18.759","16.215"
"Puebla de la Calzada-06103","2.950","2.375","5.845","1.956","26","18.732","16.202"
"Orellana la Vieja-06097","1.460","1.180","2.693","1.996","30","18.575","16.072"
"Santos de Maimona, Los-06122","4.419","3.475","8.091","2.001","31","18.559","16.118"
"Fuente del Maestre-06054","3.376","2.664","6.743","2.013","32","18.527","15.934"
"Valle de Santa Ana-06148","547","438","1.139","2.033","33","18.441","16.120"
"Monesterio-06085","2.331","1.823","4.226","2.062","34","18.316","15.915"
"Higuera la Real-06067","1.118","884","2.253","2.092","36","18.186","15.684"
"Olivenza-06095","5.691","4.735","11.963","2.100","37","18.154","15.761"
"Montijo-06088","8.215","6.650","15.457","2.111","39","18.129","15.746"
"Puebla de Sancho Pérez-06108","1.436","1.105","2.709","2.154","40","17.965","15.714"
"Castuera-06036","3.548","2.929","5.880","2.176","42","17.868","15.479"
"Talarrubias-06127","1.918","1.511","3.412","2.199","44","17.792","15.639"
"Solana de los Barros-06126","1.196","915","2.623","2.239","47","17.622","15.351"
"Salvaleón-06116","887","715","1.755","2.250","48","17.565","15.579"
"Almendral-06010","614","491","1.232","2.253","49","17.557","15.008"
"Barcarrota-06016","1.741","1.375","3.510","2.256","50","17.552","15.334"
"Medina de las Torres-06081","652","493","1.184","2.280","51","17.443","15.454"
"Guareña-06060","3.890","3.096","6.964","2.312","53","17.247","15.146"
"Villar de Rena-06156","813","650","1.379","2.355","55","17.064","15.188"
"Herrera del Duque-06063","1.978","1.557","3.482","2.361","56","17.035","14.901"
"Granja de Torrehermosa-06059","1.164","922","2.014","2.367","57","17.018","15.093"
"Burguillos del Cerro-06022","1.422","1.075","3.057","2.371","58","17.007","14.979"
"Mirandilla-06084","651","501","1.267","2.374","59","16.998","14.965"
"Santa Marta-06121","2.179","1.703","4.122","2.378","60","16.987","14.907"
"Albuera, La-06005","919","759","2.028","2.387","61","16.943","14.892"
"Roca de la Sierra, La-06115","760","590","1.464","2.410","62","16.828","14.771"
"Bienvenida-06020","1.172","930","2.087","2.419","64","16.770","14.773"
"Santa Amalia-06120","2.393","1.966","4.021","2.448","69","16.651","14.657"
"Navalvillar de Pela-06091","2.649","2.104","4.424","2.451","70","16.625","14.627"
"Esparragalejo-06046","726","564","1.462","2.455","71","16.595","14.674"
